,months_as_customer,age,policy_number,policy_bind_date,policy_state,policy_csl,policy_deductible,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_hobbies,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_year,fraud_reported
0,328,48,521585,2014-10-17,OH,250/500,1000,1406.91,0,MALE,MD,craft-repair,sleeping,2015-01-25,Single Vehicle Collision,Side Collision,Major Damage,Police,SC,Columbus,5,1,1,2,71610,6510,13020,52080,Saab,2004,Y
1,228,42,342868,2006-06-27,IN,250/500,2000,1197.22,5000000,MALE,MD,machine-op-inspct,reading,2015-01-21,Vehicle Theft,N/A,Minor Damage,Police,VA,Riverwood,8,1,0,0,5070,780,780,3510,Mercedes,2007,Y
2,134,29,687698,2000-09-06,OH,100/300,2000,1413.14,5000000,FEMALE,PhD,sales,board-games,2015-02-22,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Columbus,7,3,2,3,34650,7700,3850,23100,Dodge,2007,N
3,256,41,227811,1990-05-25,IL,250/500,2000,1415.74,6000000,FEMALE,PhD,armed-forces,board-games,2015-01-10,Single Vehicle Collision,Front Collision,Major Damage,Police,OH,Arlington,5,1,1,2,63400,6340,6340,50720,Chevrolet,2014,Y
4,228,44,367455,2014-06-06,IL,500/1000,1000,1583.91,6000000,MALE,Associate,sales,board-games,2015-02-17,Vehicle Theft,N/A,Minor Damage,None,NY,Arlington,20,1,0,1,6500,1300,650,4550,Accura,2009,N
5,256,39,104594,2006-10-12,OH,250/500,1000,1351.1,0,FEMALE,PhD,tech-support,bungie-jumping,2015-01-02,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,Arlington,19,3,0,2,64100,6410,6410,51280,Saab,2003,Y
6,137,34,413978,2000-06-04,IN,250/500,1000,1333.35,0,MALE,PhD,prof-specialty,board-games,2015-01-13,Multi-vehicle Collision,Front Collision,Minor Damage,Police,NY,Springfield,0,3,0,0,78650,21450,7150,50050,Nissan,2012,N
7,165,37,429027,1990-02-03,IL,100/300,1000,1137.03,0,MALE,Associate,tech-support,base-jumping,2015-02-27,Multi-vehicle Collision,Front Collision,Total Loss,Police,VA,Columbus,23,3,2,2,51590,9380,9380,32830,Audi,2015,N
8,27,33,485665,1997-02-05,IL,100/300,500,1442.99,0,FEMALE,PhD,other-service,golf,2015-01-30,Single Vehicle Collision,Front Collision,Total Loss,Police,WV,Arlington,21,1,1,1,27700,2770,2770,22160,Toyota,2012,N
9,212,42,636550,2011-07-25,IL,100/300,500,1315.68,0,MALE,PhD,priv-house-serv,camping,2015-01-05,Single Vehicle Collision,Rear Collision,Total Loss,Other,NC,Hillsdale,14,1,2,1,42300,4700,4700,32900,Saab,1996,N
10,235,42,543610,2002-05-26,OH,100/300,500,1253.12,4000000,FEMALE,Masters,exec-managerial,dancing,2015-01-06,Single Vehicle Collision,Front Collision,Total Loss,Police,NY,Northbend,22,1,2,2,87010,7910,15820,63280,Ford,2002,N
11,447,61,214618,1999-05-29,OH,100/300,2000,1137.16,0,FEMALE,High School,exec-managerial,skydiving,2015-02-15,Multi-vehicle Collision,Front Collision,Major Damage,Fire,SC,Springfield,21,3,1,2,114920,17680,17680,79560,Audi,2006,N
12,60,23,842643,1997-11-20,OH,500/1000,500,1215.36,3000000,MALE,MD,protective-serv,reading,2015-01-22,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Northbend,9,1,1,0,56520,4710,9420,42390,Saab,2000,N
13,121,34,626808,2012-10-26,OH,100/300,1000,936.61,0,FEMALE,MD,armed-forces,bungie-jumping,2015-01-08,Parked Car,N/A,Minor Damage,None,SC,Springfield,5,1,1,1,7280,1120,1120,5040,Toyota,2010,N
14,180,38,644081,1998-12-28,OH,250/500,2000,1301.13,0,FEMALE,College,machine-op-inspct,board-games,2015-01-15,Single Vehicle Collision,Rear Collision,Total Loss,Police,SC,Springfield,12,1,0,2,46200,4200,8400,33600,Dodge,2003,Y
15,473,58,892874,1992-10-19,IN,100/300,2000,1131.4,0,FEMALE,MD,transport-moving,movies,2015-01-29,Multi-vehicle Collision,Side Collision,Major Damage,Other,WV,Hillsdale,12,4,0,0,63120,10520,10520,42080,Accura,1999,Y
16,70,26,558938,2005-06-08,OH,500/1000,1000,1199.44,5000000,MALE,College,machine-op-inspct,hiking,2015-02-22,Multi-vehicle Collision,Rear Collision,Major Damage,Other,NY,Riverwood,0,3,1,2,52110,5790,5790,40530,Nissan,2012,N
17,140,31,275265,2004-11-15,IN,500/1000,500,708.64,6000000,MALE,High School,machine-op-inspct,reading,2015-01-06,Single Vehicle Collision,Side Collision,Total Loss,Police,WV,Northbend,9,1,0,2,77880,14160,7080,56640,Suburu,2015,N
18,160,37,921202,2014-12-28,OH,500/1000,500,1374.22,0,FEMALE,MD,craft-repair,yachting,2015-01-19,Single Vehicle Collision,Side Collision,Total Loss,Other,NY,Northbrook,19,1,1,0,72930,6630,13260,53040,Accura,2015,N
19,196,39,143972,1992-08-02,IN,500/1000,2000,1475.73,0,FEMALE,High School,handlers-cleaners,camping,2015-02-22,Multi-vehicle Collision,Side Collision,Major Damage,Police,VA,Columbus,8,3,2,0,60400,6040,6040,48320,Nissan,2014,N
